Code,Source,Country,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Food,Electricity,MEX,ktoe,65.4,74.2,68,92.8,103.4,96.9,98.8,103.4,112.6,118.9,109.1,109,136.2,194.8,199.7,215.6,219.9,227.1,227.4,212.7,214.8,214.3,237.8,265.9,256.2,264.4,287.1
Food,Gas,MEX,ktoe,124.2,157,148.6,149,150.7,124.7,210.9,240.6,257.7,298.3,212.6,221.1,179.1,155.3,144.3,163.7,200.6,156.3,167.7,171.6,173,202.2,235.4,393.9,358,400.4,448.2
Food,Oil,MEX,ktoe,1110.8,1165.8,1210.9,1053.4,932.5,1004.7,1099.1,1098.5,1239.9,1067.7,945.4,922.8,830.8,825.1,823,767,650.7,670.2,549.5,439.1,389.9,311.4,556,237.3,167.1,142.9,149.3
Food,Other sources,MEX,ktoe,17.5,20.9,35.5,15.7,14.8,15.8,14.6,15.4,16.4,35.7,28.3,30.8,27.5,28.6,29.3,30.7,38.4,43.5,44.7,45.4,45.2,49.9,49.3,50.1,52.8,56.4,60.4
Food,Comb. Renewables,MEX,ktoe,0,0,0,0,0,0,0,0,0,0,"1,097.97","1,078.89","1,115.29",985.93,928.7,"1,265.91","1,157.47",997.59,"1,183.65",938.35,879.6694387,963.34,776.58,"1,421.78",807.3707856,786.567308,792.1324174
Paper and printing,Electricity,MEX,ktoe,221.4,190.3,234.5,229.5,237.5,220.1,232.5,209,224.5,238.4,210.1,215.6,212.9,245.1,254,264.2,246.5,223.2,215.6,242.7,230.5,229.4,239.7,245.9,252.6,260.4,285
Paper and printing,Gas,MEX,ktoe,340.7,579.2,464.1,369.6,350.3,298.5,462.8,451.5,472.7,543.2,579.5,554.4,520,499.2,445.5,490.7,602.1,540.6,580,578.2,562.6,614.5,690.3,780.2,739.7,763.5,846
Paper and printing,Oil,MEX,ktoe,754.6,468.7,455.6,445.7,461.2,317.6,431.5,388,436.3,412.6,383.5,373.8,329.1,326.4,345.2,356.4,287.9,317.5,295.7,291.1,219.1,166,129.3,154.1,57.1,158.6,277.4
Paper and printing,Other sources,MEX,ktoe,5.9,4.1,5.5,5.4,5,5.2,5.4,4.9,5.5,11.9,27,7,6.8,6.7,7.1,7.4,9.1,10.7,11.5,11.3,10.7,10.5,9.4,9.7,10,10.3,10.7
Chemicals,Electricity,MEX,ktoe,453.7,402.3,433.6,455.9,504.1,499.9,524.1,546,561,587.5,571,484.3,469.2,573.2,564.7,584.4,577.9,586.9,549.7,621.5,591,595.2,571.8,582,585.5,571.7,569.8
Chemicals,Gas,MEX,ktoe,"5,330.80","5,709.20","5,331.40","5,283.90","5,451.70","5,465.90","5,955.40","5,659.40","5,371.40","5,091.70","4,933.30","4,107.90","3,366.20","3,051.10","2,925.40","3,171.30","3,485.80","3,325.50","3,496.10","3,654.80","3,845.40","3,866.10","4,030.30","4,372.00","4,371.70","3,512.30","3,398.50"
Chemicals,Oil,MEX,ktoe,1226.7,1354,1332.5,1360.9,1356.4,1195.4,1323.1,1374.2,1360.2,1259.7,1083,918.4,790.2,502.5,591.1,626.1,457.7,461.8,401,365.7,307.6,306.8,302.7,255.9,221.1,224.2,229.3
Chemicals,Other sources,MEX,ktoe,4.5,11.9,12.1,32.9,41.9,43.2,50,60,64,92,80.1,66.2,85,92.7,67,187.7,269.2,352.1,335.9,76.1,79.5,80.8,67.2,65.9,34.2,66.4,203.7
Cement and construction,Electricity,MEX,ktoe,279.2,279.2,285.5,294.4,331.1,256.4,282.2,279.5,332.7,344,332.1,330.1,339.8,337.7,339,355.4,377.7,403.8,413.1,397.6,364.1,376.7,402,398.1,394.2,416.4,445.2
Cement and construction,Gas,MEX,ktoe,248.8,213.5,318.7,228.8,187.3,163.3,246.7,265.2,289,323.4,151.2,146.5,197.5,167.6,133.5,121.8,171.1,88.6,71.9,107.4,111,109.3,194.4,105.7,125.5,220.7,241.6
Cement and construction,Oil,MEX,ktoe,1806.9,1890,1949.3,1940.1,1959.2,1666,1765.4,1748.7,1873,1667.1,1347,939.2,577.9,441.5,587.8,430.3,404.6,348.6,166.4,159.3,69.3,44.6,40.6,42,32.1,60.2,56.8
Cement and construction,Other sources,MEX,ktoe,0,0,0,2.4,50.1,50.4,98.9,188.9,279.2,383.9,506.4,772.3,"1,164.70","1,148.60","1,762.60","1,674.10","2,196.90","2,606.20","2,224.20","2,186.90","1,813.70","1,852.50","2,164.80","2,103.30","2,612.50","2,954.90","3,032.50"
Cement and construction,Coal,MEX,ktoe,0,0,0,0,0,0,0,0,0,0,0,56.7,83.2,138.3,80.1,90.1,120.9,123.3,114.9,99.4,101.5,130.1,129.4,140,143.3,153.2,162.8
Ceramics,Electricity,MEX,ktoe,69.6,73.2,75.6,77.9,87,83.9,88.3,98.3,98.7,101.1,110.7,114.2,105,90.4,101.1,98.3,97.5,100.9,101.7,95.9,132.5,146.9,102.4,99.8,101.4,107.2,114.6
Ceramics,Gas,MEX,ktoe,491.4,603.9,619.3,514.3,414,345.3,520.2,628.5,615.1,649,811.5,822.9,854.7,767.6,755.2,891.1,996.4,921.8,967.1,956.1,973.6,"1,083.30","1,151.60","1,159.70","1,266.10","1,275.90","1,396.90"
Ceramics,Oil,MEX,ktoe,162.2,46,63.5,61.9,71.3,65.3,81.7,91,91.4,88.5,66.2,74.7,133.2,114.7,128.3,124.7,97.8,99,94.7,84.9,87.7,89.9,93.1,59.2,40.4,29.1,20.8
Ceramics,Other sources,MEX,ktoe,0.5,1.7,1.9,2,1.8,1.8,2.1,2.3,2.3,4.7,2.6,2.4,2.5,2.2,29.4,17.9,13.6,6.3,3.5,3.4,3.5,4.2,3.7,3.7,3.6,4,4.1
Steel,Electricity,MEX,ktoe,704,569.5,572.8,449.4,501.2,606,642.5,661.6,661.3,741.4,642.9,525.1,494.8,450.4,591.8,585,606.6,632,653.9,623.5,521.5,520.3,557.7,515.5,474.2,459.1,492.8
Steel,Gas,MEX,ktoe,"1,917.50","1,862.00","1,829.60","1,555.40","1,588.50","1,640.60","2,550.60","2,850.00","2,777.70","3,038.70","2,239.60","1,984.20","2,020.90","2,239.10","2,399.10","2,622.20","2,769.30","2,535.00","2,482.90","2,054.80","2,493.60","2,719.50","2,688.90","2,753.50","2,863.70","3,342.00","3,673.30"
Steel,Oil,MEX,ktoe,1280.4,1194.6,688.2,844.6,942.1,982.1,1140.3,1174.2,1173.8,1025.7,818.9,653.5,525.5,534.8,608.8,480,419.5,428.9,402.2,374.1,286.7,233.3,236.5,161.1,113.6,111.2,112.6
Steel,Other sources,MEX,ktoe,30,22.2,8.1,9.1,9.9,18,20.4,100.7,114.8,140.9,169,60.5,93.3,134.2,123.4,85.4,139,143.8,142.1,85.6,42.1,43.7,59.2,54.2,21.5,41.1,45.5
Steel,Coal,MEX,ktoe,"1,348.70","1,268.30","1,223.40","1,168.50","1,194.40","1,292.40","1,314.50","1,287.40","1,325.40","1,335.80","1,729.50","1,490.30","1,115.30","1,193.20","1,193.90","1,134.50","1,137.60","1,085.40","1,139.80",914.8,"1,500.50","1,474.90","1,536.60","1,555.50","1,640.80","1,400.50","1,517.10"
